"","ChEMBL ID","AlogP","Polar Surface Area","HBA","HBD","#RO5 Violations","#Rotatable Bonds","Passes Ro3","QED Weighted","CX Acidic pKa","CX Basic pKa","CX LogP","CX LogD","Aromatic Rings","Inorganic Flag","Heavy Atoms","HBA (Lipinski)","HBD (Lipinski)","#RO5 Violations (Lipinski)","Smiles"
"8643","CHEMBL1242196","2.89","90.90","5","3","0","1","N","0.64","5.93","None","2.92","1.36","3",-1,"21","5","3","0","Cc1cc(O)c2c(O)cccc2c1-c1cc(=O)cc(O)o1"
"8644","CHEMBL198938","6.46","58.59","4","0","1","22","N","0.11","1.88","None","3.14","5.16","0",-1,"29","5","0","1","CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C"
"8645","CHEMBL1822162","4.77","193.87","12","6","3","22","N","0.04","10.64","9.80","3.38","-1.03","0",-1,"59","14","8","3","CC[C@@H]1C=CCC[C@]2(C[C@H]3CC[C@H]4[C@@H](C(=O)OCCCCCCCCCCCCCC[C@@H]5O[C@](O)(CCN)[C@H](O)N(CCCN)C5=O)[C@@]5(CCC[C@H](C)O5)NC(=[N+]43)N2)O1.O=C([O-])C(F)(F)F"
"8646","CHEMBL470649","1.01","83.83","5","2","0","2","N","0.56","7.72","None","3.55","3.38","1",-1,"15","5","2","0","COC(=O)c1c(C)cc(O)c(C=O)c1O"
"8647","CHEMBL307145","0.80","60.69","3","3","0","0","N","0.45","8.94","None","1.06","1.05","1",0,"9","3","3","0","Oc1cccc(O)c1O"
"8648","CHEMBL356036","3.49","67.13","6","0","0","5","N","0.71","None","None","2.36","2.36","3",-1,"25","6","0","0","COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OC)cc1"
"8649","CHEMBL402405","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","CCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C"
"8650","CHEMBL477704","3.02","39.44","3","0","0","4","N","0.79","None","None","2.84","2.84","1",-1,"16","3","0","0","CCC(C)/C=C/c1oc(=O)cc(OC)c1C"
"8651","CHEMBL488604","2.59","78.27","6","0","0","5","N","0.36","None","None","2.59","2.59","2",-1,"25","6","0","0","C=C1CC(CC2(C)OC2COc2ccc3ccc(=O)oc3c2)OC1=O"
"8652","CHEMBL506855","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","CCCCC[C@@H](CCCCCCCCCC(=O)O)O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O"
"8653","CHEMBL266349","0.81","148.61","5","5","0","9","N","0.29","1.77","11.48","-1.29","-1.73","1",0,"31","9","6","1","N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1"
"8654","CHEMBL1201156","3.83","12.03","1","1","0","3","N","0.83","None","10.47","4.43","1.58","2",0,"20","1","1","0","CNCCC=C1c2ccccc2CCc2ccccc21.Cl"
"8655","CHEMBL493646","2.93","132.13","7","4","1","4","N","0.33","12.80","None","2.69","2.69","0",-1,"37","7","4","1","CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C"
"8656","CHEMBL1197091","1.88","84.22","6","2","0","4","N","0.80","None","9.28","1.71","-0.16","2",0,"24","6","2","0","O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O"
"8657","CHEMBL470519","7.53","71.44","4","1","1","7","N","0.19","3.23","None","7.74","4.30","1",-1,"36","4","1","1","CC(C)=CC[C@H]1C[C@@]2(CC=C(C)C)C(=O)C(C(=O)c3ccccc3)=C(O)[C@](C=C(C)C)(C2=O)C1(C)C"
"8658","CHEMBL1370850","1.95","0.00","0","0","0","0","Y","0.41","None","None","2.22","2.22","0",-1,"5","0","0","0","C1CCCC1"
"8659","CHEMBL151233","4.26","44.48","8","1","0","4","N","0.82","None","9.69","3.48","1.26","1",-1,"18","3","2","0","COc1cc(CCN)c2c(c1OC)SSSSS2"
"8660","CHEMBL517674","7.79","57.53","2","2","1","8","N","0.36","4.97","None","7.01","4.61","0",-1,"33","3","2","1","C=C(C)[C@@H]1CC[C@]2(C)[C@H](CC[C@@H]3[C@@H]([C@@](C)(O)CCC=C(C)C)CC[C@]32C)[C@@]1(C)CCC(=O)O"
"8661","CHEMBL401839","5.45","34.14","2","0","1","10","N","0.40","None","None","5.40","5.40","0",-1,"22","2","0","1","CC(=O)/C=C/C(CC/C(C)=C/CC/C(C)=C/C(C)=O)C(C)C"
"8662","CHEMBL501367","5.25","57.61","2","1","1","7","N","0.42","3.32","None","4.83","1.41","0",-1,"24","4","1","1","C[C@@H](C/C=C/C(=O)N(C)[C@@H](C[C@H](C)C(Cl)(Cl)Cl)C(=O)O)C(Cl)(Cl)Cl"
"8663","CHEMBL513081","1.18","131.89","9","2","0","2","N","0.27","12.30","None","0.51","0.51","0",-1,"33","9","2","0","CC(=O)O[C@H]1C[C@H](O)[C@H](C)[C@@H]2[C@@]3(O)[C@]45O[C@]4(C)C(=O)O[C@H]5/C=C(/C)CC[C@@]3(OC(C)=O)[C@@]12C"
"8664","CHEMBL526501","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","C=C[C@](C)(CC/C=C(\C)C(=O)O[C@H]1C[C@@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O[C@@H]4O[C@@H](CO)[C@H](O)[C@H]4O)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)[C@@H](CC1(C)C)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](CO[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O)O[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@H]1O"
"8665","CHEMBL499670","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","CCCCCCCCCCCC(=O)O[C@H]1[C@H](O[C@H]2[C@H](C)OC3O[C@@H]4[C@@H](O)[C@H](O)[C@@H](C)O[C@H]4OC(CCCCC)CCCCCCCCCC(=O)O[C@@H]3[C@@H]2O)O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(=O)C(C)CC)[C@@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O"
"8666","CHEMBL1650453","1.23","87.94","6","1","0","3","N","0.92","None","8.31","1.43","0.47","2",-1,"24","6","2","0","N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O.O=C(O)C(O)C(O)C(=O)O"
"8667","CHEMBL564205","1.73","104.06","5","3","0","4","N","0.73","3.57","None","3.15","-0.22","1",-1,"20","6","3","0","Cc1c(O)c(CC[C@H](C)C(=O)O)c(O)c2c1COC2=O"
